Ticker,GHG Emissions,Air Quality,Energy Management,Water & Wastewater Management,Waste & Hazardous Materials Management,Ecological Impacts,Human Rights & Community Relations,Customer Privacy,Data Security,Access & Affordability,Product Quality & Safety,Customer Welfare,Selling Practices & Product Labeling,Labour Practices,Employee Health & Safety,"Employee Engagement, Diversity & Inclusion",Product Design & Lifecycle Management,Business Model Resilience,Supply Chain Management,Materials Sourcing & Efficiency,Physical Impacts of Climate Change,Business Ethics,Competitive Behaviour,Management of the Legal & Regulatory Environment,Critical Incident Risk Management,Systemic Risk Management
WAREERTL,,,,,,,,,,,,,,,,,,,,,,,,,,
MRL,1,1,,1,1,,,,,,,,,,1,,1,,,,,,1,1,1,
HBPS,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
SWSOLAR,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
KPIG,,,1,1,1,1,,,,,,,,,,,1,,,1,,,,,,
TECHNOE,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
2159,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
HARSHA,,,1,1,1,1,,,,,,,,,,,1,,,1,,,,,,
INOXGREE,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
247,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
GENSOL,,,,,,1,,,,,1,,,,1,,1,,,,,1,,,,
002956,,,1,1,,,,,,,1,1,1,,,,1,,1,1,,,,,,
AVOT,,,,,,,,,1,,,,,,,1,,,,,,1,,,,
002467,,,1,,,,,1,1,,,,,,,,,,,1,,,1,,,1
KPEL,,,,,,,,,,,,,,,1,,1,,,1,,,,,,
WESL,,,1,1,1,1,,,,,,,,,,,1,,,1,,,,,,
DEEPIND,,,,,,,,,,,,,,,,,,,,,,,,,,
GANDHAR,1,1,,1,1,,,,,,,,,,1,,1,,,,,,1,1,1,
RIIL,1,1,,,,1,,,,,,,,,,,,,,,,,1,,1,
HDFCB,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
ICICIBC,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
SBINS,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1
BESS,1,1,,,,1,,,,,,,,,1,,,,,,,1,,,1,
603489,,,,,,,,,,,1,,,,,,,,1,,,,,,,
BERA,1,1,1,1,,,,,,,,,,,,,,,1,,,,,,,
AXSB,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
BJFIN,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1
JIOFIN,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
SBILIFE,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1
AHP,,,1,1,,,,,,,,,,,,,1,,,,1,,,,,
BOB,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
HDFCLIFE,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1
POWF,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
IIB,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
MTBC,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
UNBK,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
BOOM,,,,,,,,,1,,,,,,,1,1,,1,1,,,,,,
CBK,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
000996,,,1,,,,,,1,,,,,1,,1,1,,,,,,,,,
BJHI,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,
SHFL,,,,,,,,,,,,,,,,,,,,,,,,,,
AFRIPRUD,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
IDBI,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
ICICIGI,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1
HDFCAMC,,,,,,,,,,,,,1,,,1,1,,,,,1,,,,
INBK,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
AYES,1,1,1,1,1,,,,,,,,,,1,,,,1,,,,,,,
SBICARD,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
ACUC,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
ABTZY,1,1,,1,1,,,,,1,,,,,1,,,1,,,,,,,1,1
BEDM,,,1,,1,,,,,,1,,,,,,1,,,1,,1,,,,
GICRE,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1
IDFCFB,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
CBOI,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
000777,,,1,,,,,,,,,,,,1,,1,,,1,,,,,,
ABCAP,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1
BOMH,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
PJSB,1,1,,,1,,,,,,,,,1,1,,,1,,,,,,,,
LTF,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
NIACL,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1
HUDCO,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
CRISIL,,,,,,,,,1,,,,,,,1,,,,,,1,,,,
FB,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
POONAWAL,,,,,,,,,,,,,,,,,,,,,,,,,,
MMFS,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
LICHF,,,,,,,,,,,,,1,,,,,,,,1,,,,,
STARHEAL,,,,,,,,,,,,,1,,,,1,,,,1,,,,,1
ABDP,,,1,,1,,,,,,1,,,,,,1,,,1,,,1,,,
BANDHAN,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
PAYTM,,,1,,,,,1,1,,,,,,,1,,,,,,,1,,,1
ANGELONE,,,,,,,,,,,,,,,,,,,,,,,,,,
MOFS,,,,,,,,,,,,,,,,1,1,,,,,1,,,,1
ISEC,,,,,,,,,,,,,,,,1,1,,,,,1,,,,1
CREDAG,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
FIVESTAR,,,,,,,,1,1,,,,1,,,,,,,,,,,,,
PIEL,,,,,,,1,,,1,1,1,1,,,1,,,1,,,1,,,,
IDFCFB,,,,,,,,,1,1,,,,,,,1,,,,,1,,,,1
